Year,Week_Number,weeks_year,Amount
2017,1,1,559678
2017,2,2,381857
2017,3,3,402194
2017,4,4,278808
2017,5,5,512572
2017,6,6,383215
2017,7,7,368811
2017,8,8,420993
2017,9,9,476074
2017,10,10,429245
2017,11,11,375756
2017,12,12,1048766
2017,13,13,914924
2017,14,14,1216401
2017,15,15,861064
2017,16,16,305965
2017,17,17,1140260
2017,18,18,343631
2017,19,19,1281166
2017,20,20,479221
2017,21,21,773616
2017,22,22,760525
2017,23,23,515700
2017,24,24,631880
2017,25,25,802319
2017,26,26,876755
2017,27,27,726561
2017,28,28,519624
2017,29,29,576737
2017,30,30,1001103
2017,31,31,625050
2017,32,32,455862
2017,33,33,422013
2017,34,34,635898
2017,35,35,917896
2017,37,37,835592
2017,38,38,554190
2017,39,39,963222
2017,40,40,286525
2017,41,41,333960
2017,42,42,220390
2017,43,43,818703
2017,44,44,870431
2017,45,45,1261639
2017,46,46,627895
2017,47,47,320671
2017,48,48,629027
2017,49,49,952681
2017,50,50,638940
2017,51,51,645597
2017,52,52,615899
2018,1,53,659148
2018,2,54,380772
2018,3,55,377721
2018,4,56,662948
2018,5,57,736701
2018,6,58,638429
2018,7,59,445014
2018,8,60,297957
2018,9,61,1435024
2018,10,62,876480
2018,11,63,249080
2018,12,64,218818
2018,13,65,800285
2018,14,66,1288579
2018,15,67,408419
2018,16,68,347293
2018,17,69,1328262
2018,18,70,1520113
2018,19,71,1426587
2018,20,72,1226959
2018,21,73,527703
2018,22,74,639428
2018,23,75,937374
2018,24,76,798537
2018,25,77,550903
2018,26,78,1381284
2018,27,79,783431
2018,28,80,1307744
2018,29,81,602484
2018,30,82,845324
2018,31,83,603805
2018,32,84,477734
2018,33,85,367874
2018,34,86,833992
2018,35,87,936483
2018,36,88,594419
2018,37,89,385950
2018,38,90,597225
2018,39,91,632304
2018,40,92,1394884
2018,41,93,821471
2018,42,94,477645
2018,43,95,546646
2018,44,96,655580
2018,45,97,703489
2018,46,98,1279522
2018,48,100,926082
2018,49,101,1037308
2018,50,102,647340
2018,51,103,798943
2018,52,104,1121384
2019,1,105,500231
2019,2,106,729668
2019,3,107,203387
2019,4,108,390379
2019,5,109,879779
2019,6,110,928047
2019,7,111,636453
2019,8,112,388883
2019,9,113,495070
2019,10,114,208251
2019,11,115,299655
2019,12,116,500134
2019,13,117,1404803
2019,15,119,421193
2019,16,120,237409
2019,17,121,818359
2019,18,122,526235
2019,20,124,376767
2019,21,125,284939
2019,22,126,337198
2019,23,127,518954
2019,24,128,575609
2019,25,129,470967
